Player Name,Week,Win/Loss,Sack,FR,INT,DefTD,PA,PaYD,RuYd,S,KickTD,Total Fantasy Points,Position
 Eagles,5,W 31-6 (h),10,1,2,2,6,120,67,0,0,28,Defense
 Patriots,2,W 43-0 (a),7,0,4,2,0,186,42,0,0,27,Defense
 49ers,1,W 31-17 (a),3,1,3,2,17,194,121,0,0,23,Defense
 Vikings,15,W 39-10 (a),3,4,3,1,10,307,62,0,0,23,Defense
 Colts,16,W 38-6 (h),5,0,3,0,6,236,87,0,2,23,Defense
 Panthers,6,W 37-26 (a),7,2,5,0,26,400,42,0,0,21,Defense
 Ravens,10,W 49-13 (a),2,2,1,2,13,167,157,0,0,20,Defense
 Redskins,12,W 19-16 (h),6,1,3,0,16,207,175,0,1,20,Defense
 Bears,3,W 31-15 (a),4,2,3,1,15,332,69,0,0,20,Defense
 Buccaneers,13,W 28-11 (a),5,2,2,1,11,240,49,0,0,19,Defense
