Player Name,Week,Opp,Win_Loss,Targetted,Rec,Yards,TD,Total Fantasy Points,Position
 Will Fuller,5,ATL,W 53-32,16,14,217,3,39.7,WR
 Sammy Watkins,1,at JAC,W 40-26,11,9,198,3,37.8,WR
 Mike Evans,3,NYG,L 31-32,15,8,190,3,37,WR
 Stefon Diggs,6,PHI,W 38-20,11,7,167,3,36.5,WR
 Marvin Jones,7,MIN,L 30-42,13,10,93,4,33.3,WR
 Mike Evans,8,at TEN,L 23-27,12,11,198,2,31.8,WR
 Christian Kirk,10,at TB,L 27-30,10,6,138,3,31.8,WR
 Keenan Allen,3,HOU,L 20-27,17,13,183,2,30.6,WR
 Chris Godwin,12,at ATL,W 35-22,8,7,184,2,30.4,WR
 Michael Thomas,5,TB,W 31-24,13,11,182,2,30.2,WR
